Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Recovered,Recovered,Recovered,Recovered,Recovered,Recovered,Recovered,Recovered,Recovered,Recovered,Recovered,Recovered,Recovered,Recovered,Recovered,Recovered,Recovered,Recovered,Recovered,Recovered,Recovered,Recovered,Recovered,Recovered,Recovered,Recovered,Recovered,Recovered,Recovered,Recovered,Recovered,Recovered,Recovered,Recovered
Anhui Sheng,Beijing Sheng,Chongqing Sheng,Fujian Sheng,Gansu Sheng,Guangdong Sheng,Guangxi Sheng,Guizhou Sheng,Hainan Sheng,Hebei Sheng,Heilongjiang Sheng,Henan Sheng,Hong Kong Sheng,Hubei Sheng,Hunan Sheng,Inner Mongolia Sheng,Jiangsu Sheng,Jiangxi Sheng,Jilin Sheng,Liaoning Sheng,Macau Sheng,Ningxia Sheng,Qinghai Sheng,Shaanxi Sheng,Shandong Sheng,Shanghai Sheng,Shanxi Sheng,Sichuan Sheng,Taiwan Sheng,Tianjin Sheng,Tibet Sheng,Xinjiang Sheng,Yunnan Sheng,Zhejiang Sheng,Anhui Sheng,Beijing Sheng,Chongqing Sheng,Fujian Sheng,Gansu Sheng,Guangdong Sheng,Guangxi Sheng,Guizhou Sheng,Hainan Sheng,Hebei Sheng,Heilongjiang Sheng,Henan Sheng,Hong Kong Sheng,Hubei Sheng,Hunan Sheng,Inner Mongolia Sheng,Jiangsu Sheng,Jiangxi Sheng,Jilin Sheng,Liaoning Sheng,Macau Sheng,Ningxia Sheng,Qinghai Sheng,Shaanxi Sheng,Shandong Sheng,Shanghai Sheng,Shanxi Sheng,Sichuan Sheng,Taiwan Sheng,Tianjin Sheng,Tibet Sheng,Xinjiang Sheng,Yunnan Sheng,Zhejiang Sheng,Anhui Sheng,Beijing Sheng,Chongqing Sheng,Fujian Sheng,Gansu Sheng,Guangdong Sheng,Guangxi Sheng,Guizhou Sheng,Hainan Sheng,Hebei Sheng,Heilongjiang Sheng,Henan Sheng,Hong Kong Sheng,Hubei Sheng,Hunan Sheng,Inner Mongolia Sheng,Jiangsu Sheng,Jiangxi Sheng,Jilin Sheng,Liaoning Sheng,Macau Sheng,Ningxia Sheng,Qinghai Sheng,Shaanxi Sheng,Shandong Sheng,Shanghai Sheng,Shanxi Sheng,Sichuan Sheng,Taiwan Sheng,Tianjin Sheng,Tibet Sheng,Xinjiang Sheng,Yunnan Sheng,Zhejiang Sheng
1.0,14.0,6.0,1.0,0.0,26.0,2.0,1.0,4.0,1.0,0.0,5.0,0.0,444.0,4.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,9.0,1.0,5.0,1.0,4.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,22.0,9.0,5.0,2.0,32.0,5.0,3.0,5.0,1.0,2.0,5.0,0.0,444.0,9.0,0.0,5.0,7.0,1.0,3.0,0.0,1.0,0.0,3.0,6.0,16.0,1.0,8.0,0.0,4.0,0.0,2.0,2.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,36.0,27.0,10.0,2.0,53.0,23.0,3.0,8.0,2.0,4.0,9.0,0.0,549.0,24.0,1.0,9.0,18.0,3.0,4.0,0.0,2.0,0.0,5.0,15.0,20.0,1.0,15.0,0.0,8.0,0.0,2.0,5.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
60.0,51.0,75.0,18.0,7.0,98.0,33.0,5.0,19.0,13.0,15.0,83.0,0.0,1052.0,69.0,7.0,31.0,36.0,4.0,19.0,0.0,4.0,1.0,15.0,39.0,40.0,9.0,44.0,0.0,13.0,0.0,4.0,11.0,104.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
70.0,68.0,110.0,35.0,14.0,146.0,46.0,7.0,22.0,18.0,21.0,128.0,0.0,1423.0,100.0,11.0,47.0,48.0,6.0,23.0,0.0,4.0,4.0,22.0,63.0,53.0,13.0,69.0,0.0,14.0,0.0,5.0,19.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
106.0,80.0,132.0,59.0,19.0,151.0,51.0,9.0,33.0,33.0,30.0,168.0,0.0,2714.0,100.0,11.0,70.0,72.0,6.0,27.0,0.0,7.0,6.0,35.0,87.0,66.0,20.0,90.0,0.0,23.0,0.0,5.0,26.0,173.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
152.0,91.0,147.0,82.0,24.0,241.0,58.0,9.0,43.0,48.0,37.0,206.0,0.0,3554.0,221.0,16.0,99.0,109.0,9.0,36.0,0.0,12.0,6.0,56.0,121.0,80.0,27.0,108.0,0.0,25.0,0.0,13.0,44.0,296.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,80.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
200.0,111.0,165.0,101.0,26.0,311.0,78.0,12.0,43.0,65.0,43.0,278.0,0.0,4586.0,277.0,16.0,129.0,162.0,14.0,39.0,0.0,12.0,6.0,56.0,145.0,101.0,35.0,142.0,0.0,27.0,1.0,14.0,55.0,428.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,6.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,90.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
237.0,121.0,206.0,101.0,29.0,393.0,87.0,15.0,50.0,82.0,59.0,352.0,0.0,5806.0,332.0,20.0,168.0,240.0,14.0,45.0,0.0,21.0,8.0,87.0,178.0,128.0,39.0,177.0,0.0,32.0,1.0,17.0,76.0,537.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1.0,0.0,0.0,11.0,2.0,1.0,1.0,0.0,0.0,3.0,0.0,116.0,2.0,0.0,2.0,7.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0
237.0,139.0,238.0,120.0,35.0,436.0,88.0,29.0,58.0,96.0,59.0,352.0,0.0,7153.0,332.0,20.0,168.0,240.0,14.0,60.0,0.0,21.0,8.0,87.0,184.0,153.0,47.0,177.0,0.0,32.0,1.0,17.0,83.0,537.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1.0,0.0,0.0,10.0,2.0,2.0,1.0,0.0,0.0,3.0,0.0,169.0,3.0,0.0,5.0,7.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,14.0
340.0,183.0,262.0,159.0,40.0,604.0,111.0,38.0,63.0,104.0,95.0,493.0,0.0,9074.0,463.0,27.0,236.0,333.0,23.0,64.0,0.0,28.0,9.0,116.0,225.0,177.0,56.0,231.0,0.0,45.0,1.0,21.0,93.0,661.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,3.0,0.0,0.0,14.0,2.0,2.0,1.0,3.0,2.0,4.0,0.0,215.0,8.0,1.0,6.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,10.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,23.0
408.0,191.0,300.0,159.0,51.0,683.0,127.0,46.0,71.0,113.0,95.0,566.0,0.0,11177.0,521.0,27.0,271.0,391.0,31.0,70.0,0.0,28.0,11.0,116.0,246.0,193.0,66.0,254.0,0.0,48.0,1.0,24.0,105.0,724.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,7.0,0.0,3.0,15.0,2.0,2.0,4.0,3.0,2.0,14.0,0.0,295.0,16.0,1.0,7.0,18.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,10.0,3.0,12.0,0.0,1.0,0.0,0.0,3.0,36.0
480.0,212.0,337.0,179.0,55.0,797.0,139.0,56.0,79.0,126.0,155.0,675.0,0.0,13522.0,593.0,34.0,308.0,476.0,42.0,74.0,0.0,34.0,15.0,142.0,270.0,208.0,74.0,282.0,0.0,60.0,1.0,29.0,117.0,829.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,12.0,9.0,1.0,3.0,21.0,7.0,2.0,4.0,3.0,2.0,20.0,0.0,396.0,22.0,1.0,8.0,19.0,1.0,1.0,0.0,1.0,0.0,1.0,7.0,10.0,2.0,14.0,0.0,1.0,0.0,0.0,5.0,48.0
